gse	title.x	submission_date.x	type.x	summary	organism_ch1	tlr1	tlr10	tlr2	tlr3	tlr4	tlr5	tlr6	tlr7	tlr8	tlr9
GSE2706	TLR agonists on human dendritic cells	38496	Expression profiling by array	"Toll like receptors (TLRs) sense microbial products and initiate adaptive immune responses by activating dendritic cells (DCs). Since pathogens may contain several agonists we asked whether different TLRs may synergize in DC activation. We report that in human and mouse DC TLR3 or TLR4 potently synergize with TLR7, TLR8 or TLR9 in the induction of selected cytokine genes. Upon synergistic stimulation, IL-12, IL-23 and Delta-4 are induced at levels 50-100 fold higher than those induced by optimal concentrations of single agonists, leading to enhanced and sustained TH1 polarizing capacity. Using microarray analysis we show that only 1.5% of the transcripts induced by single TLR agonists are synergistically regulated by combinations of TLR4 and TLR8 agonists.. These results identify a combinatorial code by which DCs discriminate pathogens and provide (suggest) a rationale to design adjuvants for TH1 responses.;	Series_overall_design: 3 untreated, 3 treated with LPS at 2h, 3 treated with LPS at 8h,  3 treated with R848 at 2h, 3 treated with R848 at 8h,  3 treated with LPS + R848 at 2h, 3 treated with LPS + R848 at 8h;	Keywords: other"	Homo sapiens	0	0	0	1	1	0	0	1	1	1
GSE6802	Gene expression analysis of bronchial epithelial cells stimulated by different airway pathogens.	39101	Expression profiling by array	"Bronchial epithelial cells represent the first line of defense against invading airborne pathogens. They are important contributors to innate mucosal immunity and provide a variety of anti-microbial effectors. To investigate the role of epithelial cells upon infection of airway pathogens, we stimulated BEAS-2B cells for 4 h with UV-inactivated bronchial pathogens including Staphylococcus aureus, Pseudomonas aeruginosa and Respiratory Syncitial Virus (RSV) that among other receptors can strongly activate TLR2, TLR4 and TLR3, respectively.;	Keywords: expression profiling, response to pathogens"	Homo sapiens	0	0	1	1	1	0	0	0	0	0
GSE9560	"Odontoblast-like cells and dental pulp fibroblasts stimulated with LTA, poly(I:C) and LPS."	39394	Expression profiling by array	"Odontoblasts and fibroblasts are suspected to influence the innate immune response triggered in the dental pulp by micro-organisms that progressively invade the human tooth during the carious process. To determine whether they differ in their responses to oral pathogens, we performed a systematic comparative analysis of odontoblast-like cell and pulp fibroblast responses to TLR2, TLR3 and TLR4 specific agonists (lipoteichoic acid [LTA], double-stranded RNA and lipopolysaccharide [LPS], respectively). Cells responded to these agonists by differential up-regulation of chemokine gene expression. CXCL2 and CXCL10 were thus increased by LTA only in odontoblast-like cells, while LPS increased CCL7, CCL26 and CXCL11 only in fibroblasts. These data suggest that odontoblasts and pulp fibroblasts differ in their innate immune responses to oral micro-organisms that invade the pulp tissue.;	Keywords: cell type comparaison"	Homo sapiens	0	0	1	1	1	0	0	0	0	0
GSE10601	"Time course gene expression profiling of T-cell (CD40L+) induced, anti-CD40-siRNA treated, HUVECs"	39499	Expression profiling by array	"The CD40-CD40L dyad seems to play a prominent role fostering the immune-inflammatory response triggered by endothelial cell (EC)-T cell interaction. To comprehensively delineate the involvement of CD40 (TNFRSF5) in EC activation, we combined RNAi-mediated CD40 knock-down with comparative genome-wide transcriptional profiling of EC in response to T cell. We report the initiation of a profound stress response in ECs upon CD40-CD40L engagement through early up-regulation, among others, of the major pro-inflammatory NFkB and MAPK/SAPK pathways and their associated transcription factors. Moreover, we have identified novel genes regulated through the CD40-CD40L interaction, and pathways previously unrecognized to be induced by CD40 signaling in ECs. Thus, we document a strong down-regulation of endothelial APLN by CD40-CD40L interaction, which could lead to vascular tone dysfunction in atherosclerotic lesions. Conversely, CD40-mediated up-regulation of the viral immune surveillance system, notably TLR3, IFIH1, RIG-I, and RNASEL, establishes a reverse link from adaptive to innate immunity in ECs. Moreover, systematic enrichment analysis substantiates endothelial CD40 involvement in the transcriptional regulation of gene networks associated with adhesion and motility, immunity, cell fate control, hemostasis and metabolism. Our study also highlights the potency and specificity of CD40 siRNA mediated inhibition, and the relevance of CD40 signaling pathways for anti-inflammatory therapeutic intervention.;	Keywords: treated vs. untreated comparison, time course"	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE10741	Toll-like Receptor 3-induced Suppression via Binding of Suppressors of Cytokine Signaling 3 to Tyrosine Kinase 2	39512	Expression profiling by array	"The Suppressor of cytokine signaling (SOCS) family of negative regulatory proteins are upregulated in response to several cytokines and pathogen-associated molecular patterns (PAMPs), and suppress cellular signaling responses by binding receptor phosphotyrosine residues. Exposure of bone marrow-derived dendritic cells (BMDCs) to 1D8 cells, a murine model of ovarian carcinoma, suppresses their ability to express CD40 and stimulate antigen specific responses in response to PAMPs, and in particular to poly I: C with the upregulated SOCS3 transcript and protein levels. The ectopic expression of SOCS3 in both the macrophage cell line RAW264.7 and BMDCs decreased signaling in response to both poly I:C and IFNα. Further, knockdown of SOCS3 transcripts significantly enhanced the responses of RAW264.7 and BMDCs to both poly I: C and IFNα. Immunoprecipitation and pull-down studies demonstrate that SOCS3 binds to the IFNα receptor TYK2. Since poly I: C triggers autocrine IFNα signaling, binding of SOCS3 to TYK2 may thereby suppress the activation of BMDCs by polyI:C and IFNα. Thus, elevated levels of SOCS3 in tumor-associated DCs may potentially resist the signals induced by TLR3 ligands and type I interferon to decrease DC activation via binding with IFNα receptor TyK2.;	Keywords: Response to intracellular signaling from tumor cells by coculture or treated medium"	Mus musculus	0	0	0	1	1	0	0	0	0	0
GSE11327	Dendritic cells activated with LPS IFNg over 48 hours	39570	Expression profiling by array	"Pro-inflammation triggered by microbial lipopolysaccharide (LPS) through Toll-like receptor (TLR) 4 in the presence of interferon (IFN)-g induces cytokine secretion in dendritic cells (DCs) tightly regulated by a defined differentiation program. This DC differentiation is characterized by a dynamic immune activating but also tolerance inducing phenotype associated with irreversible down-modulation of cytokines. CD40L on activated T cells further modifies DC differentiation. Using DNA micro arrays we showed down-regulated mRNA levels of TLR signaling molecules while CD40/CD40L signaling molecules were up-regulated at a time when LPS/IFN-g activated DCs have ceased cytokine expression. Accordingly we demonstrated that CD40/CD40L but not TLR4 or TLR3 signaling mediated by LPS or poly (cytidylic-inosinic) acid (poly I:C) and dsRNA re-established the capacity to secret interleukin (IL)-12 in LPS/IFN-g activated DCs, which have exhausted their potential for cytokine secretion. This resulting TH1 polarizing DC phenotype – which lacked accompanying secretion of the crucial immune suppressive IL-10 - enhanced activation of cytotoxic T lymphocytes (CTLs). We therefore conclude that immune modulation is restricted to a secondary T-cell mediated stimulus at an exhausted DC state which prevents an immune tolerant DC phenotype. These findings impacts on the rational design of TLR activated DC-based cancer vaccines for the induction of anti-tumoral CTL responses.;	Keywords: time course"	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE11898	Expression data from primary mesangial cells stimulated with DNA and RNA ligands	39625	Expression profiling by array	"Extrarenal viral infections commonly trigger glomerulonephritis mostly in association with immune complex disease. The immunoglobulin component of immune complexes can activate glomerular cell Fc receptors but whether complexed viral nucleic acids contribute to glomerular inflammation remains unknown. Glomerular mesangial cells express TLR3 but lack TLR7-9, hence, it is unclear whether mesangial cells can recognize and respond to viral ssRNA or DNA. Here we studied the immune responses activated by 3P-RNA (5'Triphosphate RNA) and Non-CpG DNA (Double stranded DNA) in primary mesangial cells (PMC).;	We used microarrays to detail the global programme of gene expression that induced by 3P-RNA and Non-CpG DNA.;	;	Keywords: diffrent ligands"	Mus musculus	0	0	0	1	0	0	0	1	0	0
GSE12124	In vitro response of fibroblasts isolated from patients with immunodeficiencies	39644	Expression profiling by array	"Children with autosomal recessive deficiency suffer from life-threatening, often recurrent viral or bacterial infections. We have profiled transcriptional responses of fibroblast cell lines derived from patients deficient for key regulators of immune responses such as MYD88, IRAK4, UNC93B, STAT1 or NEMO. This systems immunology approach revealed distinct patterns or responsiveness to stimuli activating the Toll-like/IL1 Receptor pathway in either an MYD88-dependent (IL1B) or independent (poly(I:C)) fashion, or activating the TNF pathway. The prototypic signatures in cell lines derived from patients were as follows: NEMO-deficient cells were unresponsive to all three stimuli, UNC-93B-deficient cells did not respond to poly(I:C), and STAT1-deficient cells responded only weakly to poly(I:C) after eight hours (not shown). MyD88- and IRAK-4-deficient cells had indistinguishable phenotypes, both being unresponsive to IL-1B at both time points. The signatures obtained in response to TNF and poly(I:C) (via TLR3) in these cells were similar to that of control fibroblasts."	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE12154	Stimulation of type I Interferon system by double-stranded RNA in cultured human thyroid follicles	39646	Expression profiling by array	"Although viral infection is thought to be associated with subacute thyroiditis and probably with autoimmune thyroid disease, possible changes in thyroid function during the prodromal period of infection or subclinical infection remain largely unknown. Recently, it was shown that pathogen-associated molecular patterns stimulate Toll-like receptors (TLR) and activate innate immune responses by producing type I interferons (IFN).  Using a human thyroid follicle culture system, in which de novo synthesized thyroid hormones are released into the culture medium under physiological concentrations of hTSH, we studied the effects of polyinosinic-polycytidylic acid (Poly(I:C)), a chemical analog of viral double-stranded RNA (dsRNA), on TSH-induced thyroid function.        Thyrocytes expressed ligands for dsRNA (TLR 3, CD14, and RIG-1) comparable to the TSH receptor.  DNA microarray and real-time PCR analyses revealed that dsRNA increased the expression of mRNA for TLR3, IFN-g, interferon-regulating factors, proinflammatory cytokines, and class I MHC, whereas genes associated with thyroid hormonogenesis (NIS, peroxidase, deiodinases) were suppressed. In accordance to these data, Poly(I:C) suppressed TSH-induced 125I uptake and hormone synthesis dose-dependently, accompanied by a decrease in the ratio of 125I-T3/125I-T4 released into the culture medium, whereas peptidoglycan, lipopolysaccharides, or unmethylated CpG DNA, ligands for TLR2, TLR4, and TLR9, respectively, had no significant effect.  These inhibitory effects of Poly(I:C) were not blocked by a neutralizing antibody against TLR3 and an anti-IFN alpha/beta receptor antibody. These in vitro findings suggest that when thyrocytes are infected with certain viruses, dsRNA formed intracellularly in thyrocytes may be a cause for thyroid dysfunction, leading to development of autoimmune thyroiditis.;	This data was published in Endocrinology, vol.148, 3226-3235, 2007.;	;	Keywords: Cultured human thyroid follicles"	Homo sapiens	0	0	1	1	1	0	0	0	0	1
GSE13300	IRAK-4- and MyD88-dependent pathways are essential for the removal of developing autoreactive B cells in humans	39742	Expression profiling by array	"Most autoreactive B cells are normally counterselected during early B cell development.  To determine whether Toll-like receptors (TLRs) regulate the removal of autoreactive B lymphocytes, we tested the reactivity of recombinant antibodies from single B cells isolated from patients deficient for IL-1R-associated kinase (IRAK)-4, myeloid differentiation factor 88 (MyD88) and UNC-93B.  Indeed, all TLRs except TLR3 require IRAK-4 and MyD88 to signal and UNC-93B-deficient cells are unresponsive to TLR3, TLR7, TLR8 and TLR9.  All patients suffered from defective central and peripheral B cell tolerance checkpoints resulting in the accumulation of large numbers of autoreactive mature naïve B cells in their blood.  Hence, TLR7, TLR8, and TLR9 may prevent the recruitment of developing autoreactive B cells in healthy donors.  Paradoxically, IRAK-4-, MyD88- and UNC-93B-deficient patients did not display autoreactive antibodies in their serum nor developed autoimmune diseases, suggesting that IRAK-4, MyD88 and UNC-93B pathway blockade may thwart autoimmunity in humans."	Homo sapiens	0	0	0	1	1	0	0	1	1	1
