select		gse	title.x	submission_date.x	type.x	summary	organism_ch1	Curated	tlr1	tlr10	tlr2	tlr3	tlr4	tlr5	tlr6	tlr7	tlr8	tlr9	Comments
1		GSE4445	TLR7 gene duplication accelerates autoimmunity and promotes nucleolar-specific B cells	38786	Expression profiling by array	"Systemic autoimmune diseases such as lupus and scleroderma are characterized by the loss of tolerance to nuclear antigens, but the mechanisms by which specific autoantibodies are selected are unclear.  Here we report that B cells containing the Y-linked autoimmune accelerator (Yaa) locus are intrinsically biased towards nucleolar antigens due to a duplication of TLR genes in the pseudoautosomal region that makes them more responsive to TLR7 ligands and augments the Btk-dependent signaling pathway.  These findings provide genetic evidence that naturally occurring differences in expression of TLR7 have a dramatic impact on antigen selection in autoimmunity.;	Keywords: genetic modification, Yaa locus"	Mus musculus		0	0	0	0	0	0	0	1	0	0	
0		GSE14386	Interferon beta-1a-induced changes in gene expression in PBMCs derived from CIS patients	39825	Expression profiling by array	"IFNβ, an effective therapy against relapsing-remitting (RR) multiple sclerosis (MS) is naturally secreted during the innate immune response against viral pathogens.  The objective of this study was to characterize the immunomodulatory mechanisms of IFNβ targeting innate immune response and their effects on DC-mediated regulation of T-cell differentiation.  We found that IFNβ−1a in-vitro treatment of human monocyte-derived dendritic cells (DCs) induced the expression of TLR7 and the members of its downstream signaling pathway, including myeloid differentiation factor 88 (MyD88), IL-1R-associated kinase (IRAK)4, and TNF receptor-associated factor (TRAF)6, while it inhibited the expression of IL-1R.  Using siRNA TLR7 gene silencing, we confirmed that IFNβ-1a-induced changes in MyD88, IRAK4 and IL-1R expression were dependent on TLR7.  TLR7 expression was also necessary for the IFNβ-1a-induced inhibition of IL-1β and IL-23, and the induction of IL-27 secretion by DCs.  Supernatant (SN) transfer experiments confirmed that IFNβ-1a-induced changes in DCs’ cytokine secretion inhibit Th17 cell differentiation as evidenced by the inhibition of retinoic acid-related orphan nuclear hormone receptor C (RORC) and IL-17A gene expression and IL-17A secretion.  Our study has identified a novel therapeutic mechanism of IFNβ−1a, that selectively targets the autoimmune response in MS.;	;	Keywords: The effect of IFN beta-1a on the gene expression in patients with clinically isolated syndrome suggestive of MS"	Homo sapiens		0	0	0	0	0	0	0	1	0	0	
1		GSE22124	Microarry datasets for RAW cells stimulated with R848 in the absence or presence of apilimod or API09	6/3/2010	Expression profiling by array	"Apilimod is a reported TLR pathway antagonist in clinical trial. To understand the mode of action of apilimod, we applied global microarray analysis to explore the effect of apilimod on gene expression of RAW cell in the absence of presence of R848 (TLR7 ligand)."	Mus musculus		0	0	0	0	0	0	0	1	0	0	
0		GSE57324	"Gene expression analysis in the spleen of wild type, Sle1.3 (lupus mice) and Sle1.3 mice haplodeficient for E2-2 (exhibiting non functional pDCs)"	5/6/2014	Expression profiling by array	"Systemic lupus erythematosus (SLE) is an autoimmune disorder characterized by the production of antibodies to self-nucleic acids, immune complex deposition and tissue inflammation such as glomerulonephritis. Innate recognition of molecular complexes containing self-DNA and RNA and the ensuing production of type I interferons (IFN) contribute to SLE development. Plasmacytoid dendritic cells (pDCs) have been proposed as a relevant source of pathogenic IFN in SLE; however, their net contribution to the disease remains unclear. We addressed this question using haplodeficiency of the pDC-specific transcription factor E2-2 (Tcf4), which causes a specific impairment of pDC function in otherwise normal animals. We report that Tcf4+/- animals were significantly protected from SLE-like disease caused by the overexpression of the endosomal RNA sensor Tlr7. The protection was also observed after the monoallelic deletion of Tcf4 specifically in the dendritic cell lineage. Furthermore, Tcf4 haplodeficiency in the B6.Sle1.Sle3 multigenic model of SLE ameliorated key disease manifestations including anti-DNA antibody production, immune activation and glomerulonephritis. These results provide genetic evidence that pDCs are critically involved in SLE pathogenesis, confirming their potential utility as therapeutic targets in the disease."	Mus musculus		0	0	0	0	0	0	0	1	0	0	
1		GSE64480	Treatment of human monocytes with TLR7 or TLR8 agonists	12/23/2014	Expression profiling by array	Goal was to detect differences in response to TLR7 versus TLR8 agonists in human monocytes from healthy donors	Homo sapiens		0	0	0	0	0	0	0	1	1	0	
0		GSE65514	Gene expression data from Peyer's patch mononuclear phagocyte system	2/2/2015	Expression profiling by array	"Peyer’s patches (PP) are primary inductive sites of mucosal immunity. Defining PP mononuclear phagocyte system (MPS) is thus crucial to understand the initiation of mucosal immune response. We provide a comprehensive analysis of the phenotype, distribution,;	ontogeny, lifespan, function and transcriptional profile of PP MPS. We show that monocytes give rise to macrophages and to lysozyme-expressing DC (LysoDC) which are both involved in particulate antigen uptake, display strong innate antiviral and antibacterial gene;	signatures and, upon TLR7 stimulation, secrete IL-6 and TNF but no IL-10. However, unlike macrophages, LysoDC display a rapid renewal rate, strongly express genes of the MHCII presentation pathway and prime naïve helper T cells for IFNg production. Our results show;	that in PP,  at steady state, monocytes generate both LysoDC and macrophages which display distinct features from their adjacent villus counterparts."	Mus musculus		0	0	0	0	0	0	0	1	0	0	
0		GSE54120	Dusp9 expression and function in dendritic cells	1/15/2014	Expression profiling by array	"Plasmacytoid dendritic cells (pDC) efficiently produce large amounts of type I interferon in response to TLR7 and TLR9 ligands, whereas conventional DCs (cDC) predominantly secrete high levels of the cytokines IL-10 and IL-12. The molecular basis underlying this distinct phenotype is not well understood. Here, we identified the MAPK phosphatase Dusp9/MKP-4 by transcriptome analysis as selectively expressed in pDC, but not cDC. We confirmed the constitutive expression of Dusp9 at the protein level in pDC generated in vitro by culture with Flt3L and ex vivo in sorted splenic pDC. Dusp9 expression was low in B220- bone marrow precursors and was up-regulated during pDC differentiation, concomitant with established pDC markers. Higher expression of Dusp9 in pDC correlated with impaired phosphorylation of the MAPK ERK1/2 upon TLR9 stimulation. Notably, Dusp9 was not expressed at detectable levels in human pDC, although these displayed similarly impaired activation of ERK1/2 MAPK compared to cDC. Enforced retroviral expression of Dusp9 in mouse GM-CSF-induced cDC increased the expression of TLR7/9-induced IL-12p40 and IFNwhereas IL-10 levels were diminished. Taken together, our results suggest that the species-specific, selective expression of Dusp9 in murine pDC contributes to the differential cytokine/interferon output of pDC and cDC."	Mus musculus		0	0	0	0	0	0	0	1	0	1	
1		GSE67057	Differences in the transcriptomic response of human adult and neonatal dendritic cell subsets to TLR7/8 stimulation	3/19/2015	Expression profiling by array	"Previous studies have shown that purified dendritic cells (DCs) have cell-intrinsic, age-dependent differences in their response to TLR stimulation. To delineate which aspects of the age-dependent difference in innate immunity are cell intrinsic vs extrinsic, we searched for global differences to TLR7/8 stimulation in purified adult vs neonatal DC populations. We hypothesize that very few selected cell intrinsic differences in gene expression of key immune genes between these 2 age groups exist, and the bulk would be cell extrinsic differences. The results show that there are age-dependent differences in expression of several key genes involved in the immune response at baseline already. Upon stimulation, we identified a substantially larger fraction of age-dependent differentially expressed genes in conventional than plasmacytoid DCs. Bioinformatics analyses indicate that important immune pathways were significantly differentially expressed in DC subsets between the 2 age groups."	Homo sapiens		0	0	0	0	0	0	0	1	0	0	
1	CD69	GSE41825	Bruton's Tyrosine Kinase Regulates TLR9 but not TLR7 Signaling in Human pDCs	10/24/2012	Expression profiling by array	"Plasmacytoid dendritic cells (pDCs) can be activated by the endosomal TLRs, and contribute to the pathogenesis of systemic lupus erythematosus (SLE) by producing type I IFNs. Thus, blocking TLR-mediated pDC activation may represent a useful approach for the treatment of SLE. In an attempt to identify a therapeutic target for blocking TLR signaling in pDCs, we investigated the contribution of Bruton's tyrosine kinase (Btk) to the activation of pDCs by TLR7 and TLR9 stimulation by using a selective Btk inhibitor RN486. Stimulation of TLR7 and 9 with their respective agonist, namely, gardiquimod and type A CpG ODN2216, resulted in the activation of human pDCs, as demonstrated by the expression of activation markers (CD69, CD40, and CD86), elevated production of IFN-alpha and other inflammatory cytokines, as well as up-regulation of numerous genes including IFN-alpha-inducible genes and activation of interferon regulatory factor 7 (IRF7) and NF-kB. RN486 inhibited all of these events induced by TLR9, but not TLR7 stimulation, with a nanomolar potency for inhibiting type A CpG ODN2216-mediated production of cytokines (e.g., IC50=386 nM for inhibiting IFN-alpha). Our data reveal Btk as an important regulatory enzyme in the TLR9 pathway, and a potential therapeutic target for SLE and other TLR-driven diseases."	Homo sapiens		0	0	0	0	0	0	0	1	0	1	
1	IL21	GSE77145	TBET+ B cell fates are governed by the interplay of TFH cytokines in the context of endosomal TLR engagement	1/22/2016	Expression profiling by array	"In B cells, TBET and CD11c expression are linked with IgG2c isotype switching, propensity for humoral autoimmunity, and the formation of age-associated B cells. Prior studies implicate IFNG as a mediator of these effector fates. Here we show that TBET and CD11c are induced by IL21 in the context of TLR7 or TLR9 signals, and can be blocked by concomitant IL4 stimulation. This differs from IFNG-driven TBET expression because IFNG neither induces CD11c nor is blocked by IL4. Moreover, IFNG and IL21 establish similar but distinct transcriptional profiles in the resulting TBET+ B cells. Consistent with our in vitro observations, IL21 overexpression in vivo is sufficient to promote disproportionate accumulation of TBET+ CD11c+ B cells. To further dissect the interplay of IL21, IL4, and IFNG in controlling the TBET+CD11c+ B cell fate, we used two infection models. Mice infected with either influenza or Heligmosomoides polygyrus accumulated TBET+CD11c+ B cells preferentially into the memory B (BMEM) cell pools in the absence of IL4 and IFNG. Further, the predominant antibody isotype generated against H. polygyrus changes from IgG1 to IgG2c in IL4-deficient mice and is independent of IFNG. Thus, while the magnitude of the germinal center B, plasma cell, BMEM, and T follicular helper cell responses remain largely comparable across genotypes, the quality of the immune response changes based on the relative prevalence of these three cytokines."	Mus musculus		0	0	0	0	0	0	0	1	0	1	
