GSE	geo_accession	xpType	RefDye	Note	Group	Ignore	XP	Batch	isCTRL	Node	NodeFunction	BSM	BSMDCD	BSMDCD2	BioSampName	title	source_name_ch1	source_name_ch2	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	characteristics_ch1.5	characteristics_ch1.6	characteristics_ch1.7	characteristics_ch2.1	characteristics_ch2.2	characteristics_ch2.3	characteristics_ch2.4	characteristics_ch2.5	characteristics_ch1	characteristics_ch2	platform_id	description.9	description	description.1	description.2	description.3	description.4	description.5	description.6	description.7	description.8
GSE4445	GSM99893	2CDirectDyeSwap	Cy5	Ref=WT	A	0	1		0	TLR7	OE				B lymphocytes	TLR7 gene duplication accelerates autoimmunity and promotes nucleolar-specific B cells	"Follicular B cells from spleen, fresh Isolation"	"Follicular B cells from spleen, fresh Isolation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C57BL/6.Yaa, male, 2 months, follicular B cells, fresh Isolation"	"C57BL/6, male, 2 months, follicular B cells, fresh Isolation"	GPL1057	Override other Chan A & B criteria and Include if Chan A Signal >= 5000 OR Chan B Signal >= 5000.	Criteria for data extraction.	Signal calculation: Median Intensity minus Median Background	Any Features designated Control was excluded.	Normalization method: 50th Percentile (Median) using all spot filtered Genes	Spot Filter Options:	Include Spots not flagged BAD or Not Found	AND Target diameter >= 50 um AND Target diameter <= 300 um	AND Both Chan A and Chan B Signal/Background Ratios >= 2.000	AND Both Chan A and Chan B Percentage Target Pixels 1 SD above Background >= 25%
GSE4445	GSM100003	2CDirectDyeSwap	Cy3	Ref=WT	A	0	1		0	TLR7	OE				B lymphocytes	TLR7 gene duplication accelerates autoimmunity and promotes nucleolar-specific B cells (sample2)	"Follicular B cells from spleen, fresh Isolation"	"Follicular B cells from spleen, fresh Isolation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C57BL/6, male, 2 months, follicular B cells, fresh Isolation"	"C57BL/6.Yaa, male, 2, months, follicular B cells, fresh Isolation"	GPL1057	Override other Chan A & B criteria and Include if Chan A Signal >= 5000 OR Chan B Signal >= 5000.	Criteria for data extraction.	Signal calculation: Median Intensity minus Median Background	Any Features designated Control was excluded.	Normalization method: 50th Percentile (Median) using all spot filtered Genes	Spot Filter Options:	Include Spots not flagged BAD or Not Found	AND Target diameter >= 50 um AND Target diameter <= 300 um	AND Both Chan A and Chan B Signal/Background Ratios >= 2.000	AND Both Chan A and Chan B Percentage Target Pixels 1 SD above Background >= 25%
GSE4445	GSM100005	2CDirectDyeSwap	Cy3	Ref=WT	A	0	1		0	TLR7	OE				B lymphocytes	TLR7 gene duplication accelerates autoimmunity and promotes nucleolar-specific B cells (sample3)	"Follicular B cells from spleen, fresh Isolation"	"Follicular B cells from spleen, fresh Isolation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C57BL/6, male, 2 months, follicular B cells, fresh Isolation"	"C57BL/6.Yaa, male, 2 months, follicular B cells, fresh Isolation"	GPL1057	Override other Chan A & B criteria and Include if Chan A Signal >= 5000 OR Chan B Signal >= 5000.	Criteria for data extraction.	Signal calculation: Median Intensity minus Median Background	Any Features designated Control was excluded.	Normalization method: 50th Percentile (Median) using all spot filtered Genes	Spot Filter Options:	Include Spots not flagged BAD or Not Found	AND Target diameter >= 50 um AND Target diameter <= 300 um	AND Both Chan A and Chan B Signal/Background Ratios >= 2.000	AND Both Chan A and Chan B Percentage Target Pixels 1 SD above Background >= 25%
GSE4445	GSM100006	2CDirectDyeSwap	Cy3	Ref=WT	A	0	1		0	TLR7	OE				B lymphocytes	TLR7 gene duplication accelerates autoimmunity and promotes nucleolar-specific B cells (sample4)	"Follicular B cells from spleen, fresh Isolation"	"Follicular B cells from spleen, fresh Isolation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C57BL/6, male, 2 months, follicular B cells, fresh Isolation"	"C57BL/6.Yaa, male, 2 months, follicular B cells, fresh Isolation"	GPL1057	Override other Chan A & B criteria and Include if Chan A Signal >= 5000 OR Chan B Signal >= 5000.	Criteria for data extraction.	Signal calculation: Median Intensity minus Median Background	Any Features designated Control was excluded.	Normalization method: 50th Percentile (Median) using all spot filtered Genes	Spot Filter Options:	Include Spots not flagged BAD or Not Found	AND Target diameter >= 50 um AND Target diameter <= 300 um	AND Both Chan A and Chan B Signal/Background Ratios >= 2.000	AND Both Chan A and Chan B Percentage Target Pixels 1 SD above Background >= 25%
						NA			NA																																		
GSE22124	GSM550277	1C|TS			a	0	1		1			(Veh)	0h		RAW macrophages	RAW_media_t0_rep1	RAW cells in DMEM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550278	1C|TS			a	0	1		1			(Veh)	0h		RAW macrophages	RAW_media_t0_rep2	RAW cells in DMEM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550279	1C|TS			b	0	1		1			(Veh)	1h		RAW macrophages	RAW_media_t1	RAW cells in DMEM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550280	1C|TS			A	0	1		0			R848	1h	0.1 uM	RAW macrophages	RAW_R848_t1	RAW cells in DMEM were stimulatate with R848 for 1h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550281	1C|TS			B	0	1		0			R848;apilimod	1h	0.1 uM;1 uM	RAW macrophages	RAW_R848+apilimod_t1	RAW cells in DMEM were stimulatate with R848 in the presence of apilimod for 1h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
