GSE	BioSampName	BioSampId	xpType	XP	Contrast	Formula	Node	NodeFunction	BSM	BSMDCD	BSMDCD2	Comment
GSE4445	B lymphocytes		2CDirectDyeSwap	1	TLR7 OE vs (WT) |	A	TLR7	OE				
GSE22124	RAW macrophages		1C|TS	1	R848 vs (Veh) | 1h	A-b			R848	1h	0.1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848 vs (Veh) | 3h	E-d			R848	3h	0.1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848 vs (Veh) | 7h	G-e			R848	7h	0.1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848 vs (Veh) | 22h	C-c			R848	22h	0.1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848;apilimod vs R848 | 7h	H-G			apilimod	7h	1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848;apilimod vs R848 | 1h	B-A			apilimod	1h	1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848;apilimod vs R848 | 3h	F-E			apilimod	3h	1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848;apilimod vs R848 | 7h	H-G			apilimod	7h	1 uM	
GSE22124	RAW macrophages		1C|TS	1	R848;apilimod vs R848 | 22h	D-C			apilimod	22h	1 uM	
GSE64480	monocytes		1C	1	3M-055 vs (Veh) | 12h	A-a			3M-055	12h	1 uM	
GSE64480	monocytes		1C	1	VTX-2337 vs (Veh) | 12h	B-a			VTX-2337	12h	1 uM	
GSE67057	dendritic cells		1C	1	3M-003 vs (Veh) | 1h	A-a			3M-003	1h	5 uM	
GSE67057	dendritic cells		1C	1	3M-003 vs (Veh) | 6h	B-a			3M-003	6h	5 uM	
GSE41825	dendritic cells		1C	1	ODN2216 vs (Veh) | 3h	C-a			ODN2216	3h	1 uM	
GSE41825	dendritic cells		1C	1	gardiquimod vs (Veh) | 3h	A-a			gardiquimod	3h	5 uM	
GSE41825	dendritic cells		1C	1	gardiquimod;BTKi (RN486) vs (Veh) | 3h	B-a			gardiquimod	3h	5 uM;1 uM	
GSE77145	B lymphocytes		1C	1	TBX21 LOF vs (WT) | ODN1826;IFNg 20h	A-a	TBX21	LOF				
