GSE	xpType	RefDye	Group	Ignore	XP	isCTRL	Node	NodeFunction	BSM	BSMDCD	BSMDCD2	BSMMapped	BioSampName	Comment	title	geo_accession	source_name_ch1	description	description.1	description.2	description.3	description.4	description.5	description.6	description.7	description.8	description.9	description.10	platform_id	characteristics_ch1	source_name_ch2	characteristics_ch2	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch2.1	characteristics_ch2.2	characteristics_ch2.3	characteristics_ch1.4	characteristics_ch1.5	characteristics_ch1.6
GSE2706	1C		A	0	0	0			LPS	2h	10 ng/ml	NA	dendritic cells		LPS 2h 1	GSM52340	Monocyte derived dendritic cells	This sample is also known as IOSI05-005 and IRBG1	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 10ng/ml E. coli  0111:B4 LPS Ultra-Pure (Invivogen) for 2h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		C	0	0	0			R848	2h	2.5 ug/ml	NA	dendritic cells		R848 2h 1	GSM52341	Monocyte derived dendritic cells	This sample is also known as IOSI05-006 and IRBG2	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated  with 2.5?g/ml R848 (GLSynthesis) for 2h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		B	0	0	0			LPS;R848	2h	10 ng/ml;2.5 ug/ml	NA	dendritic cells		LPS+R848 2h 1	GSM52342	Monocyte derived dendritic cells	This sample is also known as IOSI05-007 and IRBG3	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 10ng/ml E. coli  0111:B4 LPS Ultra-Pure (Invivogen) and 2.5?g/ml R848 (GLSynthesis) for 2h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		D	0	0	0			LPS	8h	10 ng/ml	NA	dendritic cells		LPS 8h 1	GSM52343	Monocyte derived dendritic cells	This sample is also known as IOSI05-008 and IRBG4	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 10ng/ml E. coli  0111:B4 LPS Ultra-Pure (Invivogen) for 8h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		F	0	0	0			R848	8h	2.5 ug/ml	NA	dendritic cells		R848 8h 1	GSM52344	Monocyte derived dendritic cells	This sample is also known as IOSI05-009 and IRBG5	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 2.5?g/ml R848 (GLSynthesis) for 8h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		E	0	0	0			LPS;R848	8h	10 ng/ml;2.5 ug/ml	NA	dendritic cells		LPS+R848 8h 1	GSM52345	Monocyte derived dendritic cells	This sample is also known as IOSI05-010 and IRBG6	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 10ng/ml E. coli  0111:B4 LPS Ultra-Pure (Invivogen) and 2.5?g/ml R848 (GLSynthesis) for 8 h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		a	0	0	1			(Veh)	2h		NA	dendritic cells		untreated 1	GSM52346	Monocyte derived dendritic cells	This sample is also known as IOSI05-011and IRBG7	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were harvested and RNA extracted	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		A	0	0	0			LPS	2h	10 ng/ml	NA	dendritic cells		LPS 2h 2	GSM52347	Monocyte derived dendritic cells	This sample is also known as IOSI05-012 and IRBD1	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 10ng/ml E. coli  0111:B4 LPS Ultra-Pure (Invivogen) for 2h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		C	0	0	0			R848	2h	2.5 ug/ml	NA	dendritic cells		R848 2h 2	GSM52348	Monocyte derived dendritic cells	This sample is also known as IOSI05-013 and IRBD2	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated  with 2.5?g/ml R848 (GLSynthesis) for 2h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE2706	1C		B	0	0	0			LPS;R848	2h	10 ng/ml;2.5 ug/ml	NA	dendritic cells		LPS+R848 2h 2	GSM52349	Monocyte derived dendritic cells	This sample is also known as IOSI05-014 and IRBD3	Sample_characteristics: Monocyte derived dendritic cells were generated by culturing human monocytes isolated from buffy coats using CD14 microbeads (Miltenyi)	Sample_data_processing: Affymetrix GCOS 1.2	Sample_extract_protocol: cells were harvested and lysed using Trizol (Invitrogen). An additional RNA clean-up step using the RNAeasy purification kit (Qiagen).	"Sample_growth_protocol_ch: cultured for five days in 10cm tissue culture dishes in RPMI with 10% fetal bovine serum (Hyclone) supplemented with GM-CSF 50ng/ml and IL-4 10 ng/ml. On day 5 MoDCs were harvested and aliquoted into 6 well plate at 0.5 106 cells/ml, 1.5 106 cells/well."	"Sample_hyb_protocol: standard Affymetrix procedures, washes performed using Fluidics Station 400"	Sample_label: biotin	Sample_label_protocol: Affymetrix GeneChip Expression 3’ Amplification One-Cycle Target Labeling kit from about 5ug of total RNA	Sample_molecule: total RNA	Sample_scan_protocol: standard Affymetrix procedures using a GeneChip Scanner 3000	Sample_treatment_protocol_ch: after 2h of incubation at 37°C cells were stimulated with 10ng/ml E. coli  0111:B4 LPS Ultra-Pure (Invivogen) and 2.5?g/ml R848 (GLSynthesis) for 2h	GPL570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
