Id	Physiological System	Organ	Tissue/Cell line	Tissue/Cell line	Tissue/Cell line	Tissue/Cell line	Tissue/Cell line
463	Blood	Erythroid lineage	erythroblasts	" bone marrow	"			
623	Blood	Erythroid lineage	erythroblasts	 bone marrow	" HEL 92.1.7 cells	"		
184	Blood	Erythroid lineage	erythrocytes				
622	Blood	Erythroid lineage	erythrocytes	" immature	"			
600	Blood	Erythroid lineage	erythroid cells	" bone marrow	"			
464	Blood	Erythroid lineage	erythroid cells	 bone marrow	" Ter119+	"		
1325	Blood	Erythroid lineage	erythroid progenitors	" BFU-Es	"			
998	Blood	Erythroid lineage	erythroid progenitors	 bone marrow	" 1° cells	"		
474	Blood	Erythroid lineage	erythroid progenitors	 bone marrow	" G1E cells	"		
999	Blood	Erythroid lineage	erythroid progenitors	 bone marrow	" G1ME cells	"		
475	Blood	Erythroid lineage	erythroid progenitors	 bone marrow	" HUDEP-2 cells	"		
1000	Blood	Erythroid lineage	erythroid progenitors	 bone marrow	" MEL cells	"		
1002	Blood	Erythroid lineage	erythroid progenitors	 liver	" embryonic	"		
994	Blood	Erythroid lineage	megakaryocyte-erythroid progenitors	" bone marrow	"			
196	Blood	HSPCs	bone marrow				
485	Blood	HSPCs	bone marrow	" CD34+	"			
486	Blood	HSPCs	bone marrow	" CD36+	"			
484	Blood	HSPCs	bone marrow	" unspecified	"			
627	Blood	HSPCs	ESC-derived				
1308	Blood	HSPCs	ESC-derived	" HPC-7 cells	"			
1310	Blood	HSPCs	liver	 fetal	" c-Kit+	"		
477	Blood	HSPCs	LSK cells	 1°	" bone marrow	"		
1294	Blood	HSPCs	UCB-derived	" CD133+	"			
1168	Blood	Megakaryocyte lineage	megakaryoblasts	 AMKL	" CHRF-288-11 cells	"		
715	Blood	Megakaryocyte lineage	megakaryoblasts	 AMKL	" CMK cells	"		
465	Blood	Megakaryocyte lineage	megakaryoblasts	" MEG-01 cells	"			
716	Blood	Megakaryocyte lineage	megakaryoblasts	 MKL	" L8057 cells	"		
1162	Blood	Megakaryocyte lineage	megakaryoblasts	" MOLM-1 cells	"			
466	Blood	Megakaryocyte lineage	megakaryoblasts	" MOLM-13 cells	"			
1163	Blood	Megakaryocyte lineage	megakaryoblasts	" MOLM-14 cells	"			
467	Blood	Megakaryocyte lineage	megakaryoblasts	" SET-2 cells	"			
468	Blood	Megakaryocyte lineage	megakaryocytes				
1164	Blood	Megakaryocyte lineage	megakaryocytes	" embryonic	"			
469	Blood	Megakaryocyte lineage	megakaryocytes	" immature	"			
1165	Blood	Megakaryocyte lineage	megakaryocytes	" mature	"			
246	Blood	Other	serum				
599	Blood	Other	umbilical cord blood				
471	Blood	Progenitors	CMPs	" 1° cells	"			
995	Blood	Progenitors	CMPs	 bone marrow	" 416B cells	"		
472	Blood	Progenitors	CMPs	 bone marrow	" ERMYB cells	"		
996	Blood	Progenitors	CMPs	 bone marrow	" FDC-P1 cells	"		
997	Blood	Progenitors	CMPs	 bone marrow	" FDCPmix cells	"		
473	Blood	Progenitors	CMPs	 bone marrow	" Tot2 cells	"		
476	Blood	Progenitors	myeloid progenitor cells	 bone marrow	" PUER cells	"		
470	Blood	Progenitors	myeloid	 unspecified	" 1° cells	"		
479	Cardiovascular	Heart	atrium	" AV canal	"			
85	Cardiovascular	Heart	atrium	" whole	"			
177	Cardiovascular	Heart	cardiac muscle	 cardiomyocytes	" 1° cells	"		
1001	Cardiovascular	Heart	cardiac muscle	 cardiomyocytes	" HL-1 cells	"		
480	Cardiovascular	Heart	cardiac muscle	 cardiomyocytes	 ventricular	" AC16 cells	"	
624	Cardiovascular	Heart	endocardium	" HENDCs	"			
625	Cardiovascular	Heart	fibroblasts	" HCFs	"			
481	Cardiovascular	Heart	myocytes				
482	Cardiovascular	Heart	other	" ESC-derived cardiac cells	"			
601	Cardiovascular	Heart	sinoatrial node				
86	Cardiovascular	Heart	ventricle	" whole	"			
84	Cardiovascular	Heart	whole heart				
483	Cardiovascular	Heart	whole heart	" embryonic	"			
626	Cardiovascular	Heart	whole heart	" fetal	"			
197	Cardiovascular	Vasculature	endothelium	 1° cells	" heart	"		
487	Cardiovascular	Vasculature	endothelium	 AoVECs	" 1° cells	"		
1166	Cardiovascular	Vasculature	endothelium	 artery	 HCAECs	" 1° cells	"	
1003	Cardiovascular	Vasculature	endothelium	 BMVECs	" 1° cells	"		
488	Cardiovascular	Vasculature	endothelium	 DMVECs	" 1° cells	"		
1004	Cardiovascular	Vasculature	endothelium	 ECFCs	" 1° cells	"		
489	Cardiovascular	Vasculature	endothelium	 HAoECs	" 1° cells	"		
1005	Cardiovascular	Vasculature	endothelium	 HBcAECs	" 1° cells	"		
1307	Cardiovascular	Vasculature	endothelium	 HBMECs	" 1° cells	"		
490	Cardiovascular	Vasculature	endothelium	 HCTAECs	" 1° cells	"		
1006	Cardiovascular	Vasculature	endothelium	 HPAECs	" 1° cells	"		
491	Cardiovascular	Vasculature	endothelium	 HScAECs	" 1° cells	"		
1007	Cardiovascular	Vasculature	endothelium	 HUAECs	" 1° cells	"		
87	Cardiovascular	Vasculature	endothelium	 HUVECs	" 1° cells	"		
1008	Cardiovascular	Vasculature	endothelium	 HUVECs	" TIVE-LTC cells	"		
748	Cardiovascular	Vasculature	endothelium	 kidney	" HRGECs	"		
83	Cardiovascular	Vasculature	endothelium	 UtMECs	" 1° cells	"		
1009	Cardiovascular	Vasculature	other	 AoAFCs	" 1° cells	"		
1275	Cardiovascular	Vasculature	other	 aorta	 AVICs	" 1° cells	"	
174	Cardiovascular	Vasculature	other	 aorta	" whole	"		
1010	Cardiovascular	Vasculature	other	 carotid artery	" whole	"		
492	Cardiovascular	Vasculature	other	 HBVPs	" 1° cells	"		
893	Cardiovascular	Vasculature	other	 HPAFs	" 1° cells	"		
493	Cardiovascular	Vasculature	smooth muscle	 AoSMCs	" 1° cells	"		
71	Cardiovascular	Vasculature	smooth muscle	 AoSMCs	" T/G HA-VSMC cells	"		
494	Cardiovascular	Vasculature	smooth muscle	 CASMCs	" 1° cells	"		
894	Cardiovascular	Vasculature	smooth muscle	 HBVSMCs	" 1° cells	"		
88	Cardiovascular	Vasculature	smooth muscle	 HUVSMCs	" HUVS-112D cells	"		
895	Cardiovascular	Vasculature	stem cells	 UC-MSCs	" 1° cells	"		
896	Cardiovascular	Vasculature	stem cells	 UC-MSCs	" Wharton's Jelly	"		
1217	Female reproductive	Mammary gland	 epithelium	" 184A1-hTERT(b) cells	"			
1208	Female reproductive	Mammary gland	epithelium	" 122LMY1 cells	"			
1209	Female reproductive	Mammary gland	epithelium	" 122Lp16sMY1 cells	"			
1210	Female reproductive	Mammary gland	epithelium	" 161HTERT cells	"			
1240	Female reproductive	Mammary gland	epithelium	" 184-E6 cells	"			
1211	Female reproductive	Mammary gland	epithelium	" 184A1 cells	"			
1212	Female reproductive	Mammary gland	epithelium	" 184A1-E1A cells	"			
1213	Female reproductive	Mammary gland	epithelium	" 184A1-E6  cells	"			
1214	Female reproductive	Mammary gland	epithelium	" 184A1-E7 cells	"			
1215	Female reproductive	Mammary gland	epithelium	" 184A1-GSE22 cells	"			
1216	Female reproductive	Mammary gland	epithelium	" 184A1-hTERT(a) cells	"			
1218	Female reproductive	Mammary gland	epithelium	" 184A1-RF cells	"			
1219	Female reproductive	Mammary gland	epithelium	" 184A1-T cells	"			
1220	Female reproductive	Mammary gland	epithelium	" 184AA2 cells	"			
1221	Female reproductive	Mammary gland	epithelium	" 184AA3 cells	"			
1222	Female reproductive	Mammary gland	epithelium	" 184AA4 cells	"			
1223	Female reproductive	Mammary gland	epithelium	" 184AA5-7 cells	"			
1224	Female reproductive	Mammary gland	epithelium	" 184AaE6  cells	"			
1225	Female reproductive	Mammary gland	epithelium	 184AaGS1	"2 cells	"		
1226	Female reproductive	Mammary gland	epithelium	" 184AaMY1-5 cells	"			
1227	Female reproductive	Mammary gland	epithelium	" 184AaZN1-3 cells	"			
1228	Female reproductive	Mammary gland	epithelium	" 184B5 cells	"			
