GSE	BioSampName	xpType	XP	Contrast	Formula	Node	NodeFunction	BSM	BSMDCD	BSMDCD2
GSE64506	VMM1 Melanoma cells	1C	1	VMM1 contr vs MALP-2	a-B			MALP-2	12h	100 ng/mL
GSE64506	VMM1 Melanoma cells	1C	1	VMM1 contr vs FSL-1	a-C			FSL-1	12h	5 ug/mL
GSE64506	VMM1 Melanoma cells	1C	1	VMM1 contr vs IFNgamma	a-D			IFNgamma	12h	
GSE64506	VMM1 Melanoma cells	1C	1	VMM1 contr vs MALP-2;IFNgamm	a-E			MALP-2;IFNgamma	12h	1000 ng/mL
GSE64506	VMM1 Melanoma cells	1C	1	VMM1 contr vs FSL-1;IFNgamma	a-F			FSL-1;IFNgamma	12h	5 ug/mL
GSE64506	DM93 Melanoma cells	1C	1	DM93 contr vs MALP-2	g-H			MALP-2	12h	100 ng/mL
GSE64506	DM93 Melanoma cells	1C	1	DM98 contr vs FSL-1	g-I			FSL-1	12h	5 ug/mL
GSE64506	DM93 Melanoma cells	1C	1	DM93 contr vs IFNgamma	g-J			IFNgamma	12h	
GSE64506	DM93 Melanoma cells	1C	1	DM93 contr vs MALP-2;IFNgamm	g-K			MALP-2;IFNgamma	12h	1000 ng/mL
GSE64506	DM93 Melanoma cells	1C	1	DM93 contr vs FSL-1;IFNgamma	g-L			FSL-1;IFNgamma	12h	5 ug/mL
GSE64506	DM13 Melanoma cells	1C	1	DM13 contr vs MALP-2	m-N			MALP-2	12h	100 ng/mL
GSE64506	DM13 Melanoma cells	1C	1	DM13 contr vs FSL-1	m-O			FSL-1	12h	5 ug/mL
GSE64506	DM13 Melanoma cells	1C	1	DM13 contr vs IFNgamma	m-P			IFNgamma	12h	
GSE64506	DM13 Melanoma cells	1C	1	DM13 contr vs MALP-2;IFNgamm	m-Q			MALP-2;IFNgamma	12h	1000 ng/mL
GSE64506	DM13 Melanoma cells	1C	1	DM13 contr vs FSL-1;IFNgamma	m-R			FSL-1;IFNgamma	12h	5 ug/mL
GSE64506	VMM39 Melanoma cells	1C	1	VMM39 contr vs MALP-2	s-T			MALP-2	12h	100 ng/mL
GSE64506	VMM39 Melanoma cells	1C	1	VMM39 contr vs FSL-1	s-U			FSL-1	12h	5 ug/mL
GSE64506	VMM39 Melanoma cells	1C	1	VMM39 contr vs IFNgamma	s-W			IFNgamma	12h	
GSE64506	VMM39 Melanoma cells	1C	1	VMM39 contr vs MALP-2;IFNgamm	s-X			MALP-2;IFNgamma	12h	1000 ng/mL
GSE64506	VMM39 Melanoma cells	1C	1	VMM39 contr vs FSL-1;IFNgamma	s-Y			FSL-1;IFNgamma	12h	5 ug/mL
